,Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4
0,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
1,Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,
2,Fungal infection,itching, nodal skin eruptions, dischromic  patches,
3,Fungal infection,itching, skin rash, dischromic  patches,
4,Fungal infection,itching, skin rash, nodal skin eruptions,
5,Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,
6,Fungal infection,itching, nodal skin eruptions, dischromic  patches,
7,Fungal infection,itching, skin rash, dischromic  patches,
8,Fungal infection,itching, skin rash, nodal skin eruptions,
9,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
10,Allergy, continuous sneezing, shivering, chills, watering from eyes
11,Allergy, shivering, chills, watering from eyes,
12,Allergy, continuous sneezing, chills, watering from eyes,
13,Allergy, continuous sneezing, shivering, watering from eyes,
14,Allergy, continuous sneezing, shivering, chills,
15,Allergy, shivering, chills, watering from eyes,
16,Allergy, continuous sneezing, chills, watering from eyes,
17,Allergy, continuous sneezing, shivering, watering from eyes,
18,Allergy, continuous sneezing, shivering, chills,
19,Allergy, continuous sneezing, shivering, chills, watering from eyes
20,GERD, stomach pain, acidity, ulcers on tongue, vomiting
21,GERD, stomach pain, ulcers on tongue, vomiting, cough
22,GERD, stomach pain, acidity, vomiting, cough
23,GERD, stomach pain, acidity, ulcers on tongue, cough
24,GERD, stomach pain, acidity, ulcers on tongue, vomiting
25,GERD, stomach pain, acidity, ulcers on tongue, vomiting
26,GERD, acidity, ulcers on tongue, vomiting, cough
27,GERD, stomach pain, ulcers on tongue, vomiting, cough
28,GERD, stomach pain, acidity, vomiting, cough
29,GERD, stomach pain, acidity, ulcers on tongue, cough
30,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
31,Chronic cholestasis, vomiting, yellowish skin, nausea, loss of appetite
32,Chronic cholestasis,itching, yellowish skin, nausea, loss of appetite
33,Chronic cholestasis,itching, vomiting, nausea, loss of appetite
34,Chronic cholestasis,itching, vomiting, yellowish skin, loss of appetite
35,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
